"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7008","Login - Error message is displayed when login with Wrong Credentials","chromium","Tue Dec 10 14:58:32 UYT 2024","passed","Tue Dec 10 14:58:39 UYT 2024","","loginTests.spec.js","",""
"","17561","Checkbox will enable Reserve DHCP address input","chromium","Tue Dec 10 14:59:51 UYT 2024","failed","Tue Dec 10 15:00:09 UYT 2024","Client Devices - ","clientdevicesTest.spec.js","",""
"","17455","Checking when updating password user is able to login with the new password","chromium","Tue Dec 10 15:01:24 UYT 2024","failed","Tue Dec 10 15:01:41 UYT 2024","Settings/General Settings/ > Change Password - ","settingsGeneralSettingsTests.spec.js","",""
"","11734","Device name opens device info section","chromium","Tue Dec 10 14:58:47 UYT 2024","failed","Tue Dec 10 14:58:58 UYT 2024","Client Devices - ","clientdevicesTest.spec.js","",""
"","8799","Menu Bar - All links on menu are correctly displayed","chromium","Tue Dec 10 14:58:51 UYT 2024","failed","Tue Dec 10 14:59:00 UYT 2024","","menuBarTest.spec.js","",""
"","13601","User is able to replace IP address","chromium","Tue Dec 10 09:19:57 UYT 2024","passed","Tue Dec 10 09:20:11 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","12654","Pressing Confirm button with all fields empty except New Key input should trigger an error message","chromium","Tue Dec 10 09:16:33 UYT 2024","failed","Tue Dec 10 09:16:46 UYT 2024","Settings/Wifi > Change Password Modal - ","settingsWifiTests.spec.js","",""
"","7199","All elements are correctly visible","chromium","Tue Dec 10 09:15:35 UYT 2024","failed","Tue Dec 10 09:15:42 UYT 2024","Settings/Wifi","settingsWifiTests.spec.js","",""
"","11845","X button close the software update modal as expected","chromium","Tue Dec 10 15:06:57 UYT 2024","passed","Tue Dec 10 15:07:09 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","11073","Settings/Wifi - Warning message is displayed","chromium","Tue Dec 10 15:01:56 UYT 2024","passed","Tue Dec 10 15:02:07 UYT 2024","","settingsWifiTests.spec.js","",""
"","11531","Clicking eyes element should revealing the text on inputs fields","chromium","Tue Dec 10 15:00:34 UYT 2024","passed","Tue Dec 10 15:00:45 UYT 2024","Settings/General Settings/ > Change Password - ","settingsGeneralSettingsTests.spec.js","",""
